Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2007","2007","%","0.46","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2008","2008","%","0.47","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2009","2009","%","0.48","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2010","2010","%","0.5","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2011","2011","%","0.52","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2012","2012","%","0.53","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2013","2013","%","0.55","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2014","2014","%","0.56","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2015","2015","%","0.58","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2016","2016","%","0.52","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2017","2017","%","0.53","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2018","2018","%","0.54","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2019","2019","%","0.54","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2020","2020","%","0.54","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2021","2021","%","0.53","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
