Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1987","1987","3050","FAO TIER 1","kt","2021.8576","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1988","1988","3050","FAO TIER 1","kt","2256.8224","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1989","1989","3050","FAO TIER 1","kt","2992.4664","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1990","1990","3050","FAO TIER 1","kt","3023.2132","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1991","1991","3050","FAO TIER 1","kt","2524.2756","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1992","1992","3050","FAO TIER 1","kt","2457.3892","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1993","1993","3050","FAO TIER 1","kt","2238.9248","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1994","1994","3050","FAO TIER 1","kt","2368.6992","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1995","1995","3050","FAO TIER 1","kt","2359.8652","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","1996","1996","3050","FAO TIER 1","kt","2362.7128","E","Estimated value",""
