Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1990","1990","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1990","1990","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1991","1991","t","1336","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1991","1991","1000 USD","75","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1991","1991","t","9","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1991","1991","1000 USD","6","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1992","1992","t","4190","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1992","1992","1000 USD","300","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1992","1992","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1992","1992","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1993","1993","t","3698","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1993","1993","1000 USD","219","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1993","1993","t","4","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1993","1993","1000 USD","9","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1994","1994","t","4219","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1994","1994","1000 USD","242","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1994","1994","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1994","1994","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1995","1995","t","6338","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1995","1995","1000 USD","1459","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1995","1995","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1995","1995","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1996","1996","t","8008","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1996","1996","1000 USD","1723","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1996","1996","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1996","1996","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1997","1997","t","8793","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1997","1997","1000 USD","1002","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1997","1997","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1997","1997","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1998","1998","t","1172","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1998","1998","1000 USD","149","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1998","1998","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1998","1998","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1999","1999","t","8196","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1999","1999","1000 USD","961","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1999","1999","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1999","1999","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2000","2000","t","9553.02","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2000","2000","1000 USD","966","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2000","2000","t","1.92","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2000","2000","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2001","2001","t","6833","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2001","2001","1000 USD","660","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2001","2001","t","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2001","2001","1000 USD","3","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2002","2002","t","10290","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2002","2002","1000 USD","972","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2002","2002","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2002","2002","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2003","2003","t","11106","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2003","2003","1000 USD","1112","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2003","2003","t","5","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2003","2003","1000 USD","5","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2004","2004","t","16665","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2004","2004","1000 USD","2081","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2004","2004","t","21","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2004","2004","1000 USD","19","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2005","2005","t","16668","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2005","2005","1000 USD","2129","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2005","2005","t","3","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2005","2005","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2006","2006","t","17665","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2006","2006","1000 USD","2170","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2006","2006","t","7","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2006","2006","1000 USD","13","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2007","2007","t","11226","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2007","2007","1000 USD","1169","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2007","2007","t","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2007","2007","1000 USD","6","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2008","2008","t","7507","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2008","2008","1000 USD","750","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2008","2008","t","25","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2008","2008","1000 USD","34","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2009","2009","t","12501","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2009","2009","1000 USD","1561","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2009","2009","t","32","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2009","2009","1000 USD","54","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2010","2010","t","9044","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2010","2010","1000 USD","702","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2010","2010","t","56","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2010","2010","1000 USD","108","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2011","2011","t","7190","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2011","2011","1000 USD","518","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2011","2011","t","123","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2011","2011","1000 USD","172","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2012","2012","t","6126","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2012","2012","1000 USD","433","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2012","2012","t","5","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2012","2012","1000 USD","11","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2013","2013","t","3904","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2013","2013","1000 USD","314","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2013","2013","t","542","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2013","2013","1000 USD","1179","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2014","2014","t","3127.6","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2014","2014","1000 USD","218","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2014","2014","t","1759.58","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2014","2014","1000 USD","3573","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2015","2015","t","1129.79","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2015","2015","1000 USD","77","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2015","2015","t","5542.97","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2015","2015","1000 USD","10279","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2016","2016","t","217.1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2016","2016","1000 USD","16","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2016","2016","t","18200.72","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2016","2016","1000 USD","35040","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2017","2017","t","132.7","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2017","2017","1000 USD","9","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2017","2017","t","28487.04","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2017","2017","1000 USD","52948","A","Official figure",""
